Control voltage (V),Output Frequency (Hz),kvco (Hz/V),Delta f (%),kvco (%/V)
0.000000000000e+00,1.155619200000e+10,0.000000000000e+00,-3.698400000000e+00,0.000000000000e+00
8.585858585859e-03,1.156515780000e+10,1.044252000000e+09,-3.623685000000e+00,8.702100000000e+00
1.717171717172e-02,1.157412360000e+10,1.044252000000e+09,-3.548970000000e+00,8.702100000000e+00
2.575757575758e-02,1.158308940000e+10,1.044252000000e+09,-3.474255000000e+00,8.702100000000e+00
3.434343434343e-02,1.159205520000e+10,1.044252000000e+09,-3.399540000000e+00,8.702100000000e+00
4.292929292929e-02,1.160102100000e+10,1.044252000000e+09,-3.324825000000e+00,8.702100000000e+00
5.151515151515e-02,1.160998680000e+10,1.044252000000e+09,-3.250110000000e+00,8.702100000000e+00
6.010101010101e-02,1.161895260000e+10,1.044252000000e+09,-3.175395000000e+00,8.702100000000e+00
6.868686868687e-02,1.162791840000e+10,1.044252000000e+09,-3.100680000000e+00,8.702100000000e+00
7.727272727273e-02,1.163688420000e+10,1.044252000000e+09,-3.025965000000e+00,8.702100000000e+00
8.585858585859e-02,1.164585000000e+10,1.044252000000e+09,-2.951250000000e+00,8.702100000000e+00
9.444444444444e-02,1.165481580000e+10,1.044252000000e+09,-2.876535000000e+00,8.702100000000e+00
1.030303030303e-01,1.166378160000e+10,1.044252000000e+09,-2.801820000000e+00,8.702100000000e+00
1.116161616162e-01,1.167274740000e+10,1.044252000000e+09,-2.727105000000e+00,8.702100000000e+00
1.202020202020e-01,1.168171320000e+10,1.044252000000e+09,-2.652390000000e+00,8.702100000000e+00
1.287878787879e-01,1.169067900000e+10,1.044252000000e+09,-2.577675000000e+00,8.702100000000e+00
1.373737373737e-01,1.169964480000e+10,1.044252000000e+09,-2.502960000000e+00,8.702100000000e+00
1.459595959596e-01,1.170861060000e+10,1.044252000000e+09,-2.428245000000e+00,8.702100000000e+00
1.545454545455e-01,1.171757640000e+10,1.044252000000e+09,-2.353530000000e+00,8.702100000000e+00
1.631313131313e-01,1.172654220000e+10,1.044252000000e+09,-2.278815000000e+00,8.702100000000e+00
1.717171717172e-01,1.173550800000e+10,1.044252000000e+09,-2.204100000000e+00,8.702100000000e+00
1.803030303030e-01,1.174447380000e+10,1.044252000000e+09,-2.129385000000e+00,8.702100000000e+00
1.888888888889e-01,1.175343960000e+10,1.044252000000e+09,-2.054670000000e+00,8.702100000000e+00
1.974747474747e-01,1.176240540000e+10,1.044252000000e+09,-1.979955000000e+00,8.702100000000e+00
2.060606060606e-01,1.177137120000e+10,1.044252000000e+09,-1.905240000000e+00,8.702100000000e+00
2.146464646465e-01,1.178033700000e+10,1.044252000000e+09,-1.830525000000e+00,8.702100000000e+00
2.232323232323e-01,1.178930280000e+10,1.044252000000e+09,-1.755810000000e+00,8.702100000000e+00
2.318181818182e-01,1.179826860000e+10,1.044252000000e+09,-1.681095000000e+00,8.702100000000e+00
2.404040404040e-01,1.180723440000e+10,1.044252000000e+09,-1.606380000000e+00,8.702100000000e+00
2.489898989899e-01,1.181620020000e+10,1.044252000000e+09,-1.531665000000e+00,8.702100000000e+00
2.575757575758e-01,1.182516600000e+10,1.044252000000e+09,-1.456950000000e+00,8.702100000000e+00
2.661616161616e-01,1.183413180000e+10,1.044252000000e+09,-1.382235000000e+00,8.702100000000e+00
2.747474747475e-01,1.184309760000e+10,1.044252000000e+09,-1.307520000000e+00,8.702100000000e+00
2.833333333333e-01,1.185206340000e+10,1.044252000000e+09,-1.232805000000e+00,8.702100000000e+00
2.919191919192e-01,1.186102920000e+10,1.044252000000e+09,-1.158090000000e+00,8.702100000000e+00
3.005050505051e-01,1.186999500000e+10,1.044252000000e+09,-1.083375000000e+00,8.702100000000e+00
3.090909090909e-01,1.187896080000e+10,1.044252000000e+09,-1.008660000000e+00,8.702100000000e+00
