phase_detector: pfd
fo(VCO_freq_in_Hz): 1.200000e+10
VCO_clock_dutycycle: 0.4000
tauff(sec): 1.0000e-11
tauh(sec): 1.0000e-11
taucp_min(sec): 1.0000e-12
pfd_deadzone(UI): 0.0000
fin(input_freq_in_Hz): 1.000000e+08
feedback_divider: 120
feedback_divider_delay(sec): 0.0000e+00
feedback_divider_clock_duty_cycle: 0.1000
jitter_amp(UIpp): 0.00 UI
Jitter_freqs(Hz): 0.0000e+00
phase0(degrees): 0.00
TSTART(sec): 0.000000e+00
TSTART_jt(sec): 2.000000e-06
TSTOP(sec): 2.000000e-06
deltat(sec): 1.000000e-13
lock_detect_tau(sec): 1.000000e-07
lock_detect_delta_vc_limit(%): 1.000000e-01
lock_detect_rphase_pp_limit(UIpp): 1.500000e-01
lock_detect_rphase_pp_loss_lock_limit(UIpp): 3.000000e-01
number_of_print_points: 5001
phase_freq_step_time(sec): 1.000000e+00
phase_step(sec): 0.0000e+00
freq_step(ppm): 0.0000e+00
ssc_start_time(sec): 1.000000e+00
max_pos_ssc(ppm): 0.00
max_neg_ssc(ppm): 0.00
freq_ssc(Hz): 0.0000e+00
phase_detector_logic_hi(V): 600.000
phase_detector_logic_low(V): -600.000
signal_source_vs1(V): 0.000
signal_source_vs2(V): 0.000
vc_model: poly
vc_polynomial_coeff.(Hz/V): -3.698400e-02,8.702100e-02
vco_bandwidth(Hz): 4.0000e+07
power_supply_max(V): 0.8500
power_supply_min(V): 0.0000
random_noise_sigma(UI_on_fin): 0.0000
RS1(ohms): 1.0000e+12
RS2(ohms): 1.0000e+12
R1(ohms): 1.0000e+06
RZERO(ohms): 1.2000e+04
R3(ohms): 1.0000e+00
C1(farads): 2.4070e-11
C2(farads): 3.6000e-13
initvc(V): 0.2000
Output_base_filename "sample_octave_output_file_v1p76"
Time(s),vpd(V),vs1(V),vs2(V),vc1(V),vc(V),phasein(UI),phaseo(UI),phaseo_delayed(UI),rphase(UI),vc2(V),VIN,CLK,VCO_CLK,CLKIN,freq (ppm from fin),VOUT
0.000000000000e+00,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,2.000000000000e-01,2.000000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.000000000000e-01,0,1,1,1,-3.698400000000e+04,0
4.000000000000e-10,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.997642105627e-01,0.000000000000e+00,0.000000000000e+00,-8.079383560531e-04,-8.079383560531e-04,-8.079383560531e-04,0.000000000000e+00,0,1,0,1,-2.100259095171e+04,0
8.000000000001e-10,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.994868392579e-01,0.000000000000e+00,0.000000000000e+00,-1.679116636685e-03,-1.679116636685e-03,-1.679116636685e-03,0.000000000000e+00,0,1,1,1,-2.253109912112e+04,0
1.200000000000e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.992098517684e-01,0.000000000000e+00,0.000000000000e+00,-2.608463175431e-03,-2.608463175431e-03,-2.608463175431e-03,0.000000000000e+00,0,0,1,1,-2.391341634974e+04,0
1.600000000000e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.989332475632e-01,0.000000000000e+00,0.000000000000e+00,-3.590414591899e-03,-3.590414591899e-03,-3.590414591899e-03,0.000000000000e+00,0,0,0,1,-2.516352476184e+04,0
2.000000000000e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.986570261118e-01,0.000000000000e+00,0.000000000000e+00,-4.619939603483e-03,-4.619939603483e-03,-4.619939603483e-03,0.000000000000e+00,0,0,0,1,-2.629406919089e+04,0
2.400000000001e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.983811868846e-01,0.000000000000e+00,0.000000000000e+00,-5.692488133994e-03,-5.692488133994e-03,-5.692488133994e-03,0.000000000000e+00,0,0,1,1,-2.731648508193e+04,0
2.800000000001e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.981057293527e-01,0.000000000000e+00,0.000000000000e+00,-6.803945289689e-03,-6.803945289689e-03,-6.803945289689e-03,0.000000000000e+00,0,0,0,1,-2.824111416097e+04,0
3.200000000001e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.978306529879e-01,0.000000000000e+00,0.000000000000e+00,-7.950589737154e-03,-7.950589737154e-03,-7.950589737154e-03,0.000000000000e+00,0,0,0,1,-2.907730904146e+04,0
3.600000000001e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.975559572628e-01,0.000000000000e+00,0.000000000000e+00,-9.129056062064e-03,-9.129056062064e-03,-9.129056062064e-03,0.000000000000e+00,0,0,1,1,-2.983352782584e+04,0
